contact_id,name,title,email,account_id
C0093,Laura Moreno,Director of IT,debra31@gmail.com,A0019
C0094,Kathryn Hughes,CTO,kimberly73@mitchell.com,A0089
C0095,Benjamin Thompson,VP Clinical Systems,cochrantammy@yahoo.com,A0164
C0096,Michelle Pierce,CTO,melissa25@hotmail.com,A0177
C0097,William Conner,VP Clinical Systems,jjohnson@wood.org,A0117
C0098,Ana Sanders,VP Clinical Systems,khammond@gmail.com,A0051
C0099,Evan Jones,CTO,david89@gmail.com,A0124
C0100,Betty Shaw,CIO,holmeskevin@morris.com,A0061
C0101,Todd Jacobson,CTO,james84@weber.net,A0147
C0102,Martin Vargas,VP Clinical Systems,donnale@morgan.com,A0148
C0103,Travis Wise,VP Clinical Systems,katiebutler@hotmail.com,A0180
C0104,Stephen Gardner,VP Clinical Systems,zsanchez@hotmail.com,A0006
C0105,Jesse Barker,CTO,dperry@peterson.com,A0071
C0106,Emma Travis,CIO,xanderson@hotmail.com,A0145
C0107,Emma Owens,CIO,gwright@gmail.com,A0156
C0108,James Gilbert,CTO,lisapeck@edwards.net,A0074
C0109,Shawn Jimenez,Director of IT,pwagner@aguilar.com,A0156
C0110,Kyle Cameron,VP Clinical Systems,amanda16@gmail.com,A0057
C0111,Monica Gallagher,Director of IT,moralesashley@gmail.com,A0159
C0112,Dylan Hughes,VP Clinical Systems,marcia99@gmail.com,A0174
C0113,Brent Brooks,Director of IT,kari39@hotmail.com,A0161
C0114,Andrew Williams,CIO,jstone@hotmail.com,A0161
C0115,Brenda Velazquez,CIO,phillipjensen@yahoo.com,A0080
C0116,Katie Hicks,CTO,thomas05@yahoo.com,A0009
C0117,Veronica Silva,VP Clinical Systems,pbaker@lane.com,A0188
C0118,Michelle Hampton,Director of IT,lorraineallen@hotmail.com,A0024
C0119,Ashley Smith,VP Clinical Systems,shernandez@gmail.com,A0084
C0120,Reginald Knapp,CTO,aprilhoffman@mendoza.info,A0045
C0121,Gloria Gomez,Director of IT,plee@yahoo.com,A0034
C0122,Courtney Dudley,VP Clinical Systems,janet75@yahoo.com,A0136
C0123,Timothy Pope,VP Clinical Systems,david86@yahoo.com,A0043
C0124,Tina Ballard,VP Clinical Systems,robertsjennifer@yahoo.com,A0124
C0125,Mary Burgess,VP Clinical Systems,marianelson@horton.org,A0192
C0126,Anthony Stein,VP Clinical Systems,briangutierrez@kennedy.net,A0030
C0127,Brooke Delgado,CTO,wsantos@yahoo.com,A0020
C0128,Matthew Velez,Director of IT,amandasharp@gentry.biz,A0194
C0129,Casey Gillespie,Director of IT,vlopez@yahoo.com,A0174
C0130,Alexandra Bradley,CTO,justin88@small-anderson.net,A0143
C0131,Corey Rodriguez,VP Clinical Systems,twong@smith.com,A0024
C0132,Nicole Thompson,CTO,frobertson@yahoo.com,A0004
C0133,Cathy Taylor,VP Clinical Systems,adamreyes@yahoo.com,A0138
C0134,Tiffany Turner,CIO,desiree30@wilson.net,A0117
C0135,Stacy Carrillo,VP Clinical Systems,michael33@mendoza.org,A0173
C0136,Michael Durham,VP Clinical Systems,erinlarson@fox.com,A0150
C0137,Justin Brown,CTO,franklinbond@wilson-harris.org,A0164
C0138,Steven Griffin Jr.,VP Clinical Systems,dbryant@ford.biz,A0028
C0139,Aaron Robinson,Director of IT,hendersonisabella@mcknight.info,A0121
C0140,Jason Mack,CIO,victoria67@yahoo.com,A0159
C0141,Michael Stanley,VP Clinical Systems,david86@anderson.com,A0157
C0142,Julie Ball,Director of IT,pmorrow@yahoo.com,A0166
C0143,Donald Pineda,CIO,pachecorobert@allen.com,A0163
C0144,Jill Powers,CTO,joymorales@fernandez.com,A0180
C0145,Donna Cabrera,VP Clinical Systems,joel28@gmail.com,A0167
C0146,Donald Hawkins,CTO,dpeters@david-powers.net,A0030
C0147,Jason Hernandez,Director of IT,karenwells@gmail.com,A0012
C0148,Michael Shaffer,CIO,jfaulkner@anderson.com,A0078
C0149,Sarah Davis,CTO,adamsemily@williams.org,A0030
C0150,Kristin Mendoza,CIO,susan03@gmail.com,A0061
C0151,Autumn Key,Director of IT,heatherpadilla@yahoo.com,A0100
C0152,Kristen Rowe,CTO,wferguson@yahoo.com,A0095
C0153,Jose Crawford,CTO,ugill@wood.com,A0151
C0154,Connie Thomas,Director of IT,mphillips@yahoo.com,A0107
C0155,Kelly Sanchez,CIO,kathryn77@yahoo.com,A0126
C0156,Robert Jackson,CTO,sabrinaweaver@hotmail.com,A0072
C0157,Kelly Combs,CIO,duranrobert@hall.net,A0177
C0158,Antonio Little,VP Clinical Systems,ismith@hotmail.com,A0056
C0159,Alan Bowen,CTO,shawheidi@yahoo.com,A0114
C0160,Susan Rodriguez,Director of IT,johnharvey@ochoa-adams.biz,A0093
C0161,Tyler Stevens,CIO,kevinclayton@valdez.com,A0176
C0162,James Tran,VP Clinical Systems,warnerchristopher@newman-rivera.com,A0140
C0163,Tamara Hall,VP Clinical Systems,brandon14@hotmail.com,A0016
C0164,Amanda Mcfarland,CTO,alibrenda@hotmail.com,A0071
C0165,Tanya Evans,Director of IT,irhodes@reyes-singh.com,A0032
C0166,Valerie Brown,CTO,marypeterson@hotmail.com,A0024
C0167,Jennifer Ayala,Director of IT,kristen77@kelly.biz,A0165
C0168,Kevin James,CIO,jennifermiller@gmail.com,A0013
C0169,Richard Moore,VP Clinical Systems,michael10@yahoo.com,A0063
C0170,Philip Garcia,Director of IT,ryanhawkins@russell.com,A0145
C0171,Rachel Shields,Director of IT,robert18@armstrong.biz,A0018
C0172,Derrick Adams,Director of IT,jacksonjoshua@washington-jones.com,A0151
C0173,Michelle Simpson,Director of IT,trodriguez@rush.org,A0060
C0174,Scott Alexander,VP Clinical Systems,kevinmorrison@hotmail.com,A0199
C0175,Ernest Oconnell,Director of IT,jessica79@gmail.com,A0153
C0176,Douglas Hartman,CIO,frederickjames@hotmail.com,A0071
C0177,Randall Johnson,Director of IT,samuelcarter@hotmail.com,A0034
C0178,Ryan Pope,VP Clinical Systems,cynthiaallen@hotmail.com,A0045
C0179,Jay Bennett,CIO,iaguilar@hotmail.com,A0170
C0180,Sheila Barnes,CIO,jacqueline89@rocha.com,A0034
C0181,Lonnie Hart,CIO,tammy61@gmail.com,A0092
C0182,Daniel Burgess,Director of IT,dbrooks@chapman.com,A0151
C0183,Mr. Thomas Miller,VP Clinical Systems,larry73@webb.info,A0005
C0184,Eric Patrick,Director of IT,sweeneydeborah@marsh.net,A0068
C0185,Christopher Castro,CIO,laurensoto@gmail.com,A0033
C0186,Jessica Johnson,CTO,yvargas@bush.com,A0135
C0187,Rhonda Brown,CIO,michaelgonzalez@baker.net,A0191
C0188,Emily Price,CIO,baileymegan@hotmail.com,A0122
C0189,Michael Mcbride,CTO,lawrenceallen@white.com,A0200
C0190,Jennifer Taylor,VP Clinical Systems,olopez@hotmail.com,A0132
C0191,Maria Cooke,CIO,lroberts@wilkinson-harvey.com,A0116
C0192,Kari Lee,Director of IT,fortiz@yahoo.com,A0158
C0193,Jill Jackson,CIO,kellyhill@roberts.info,A0187
C0194,Ashley Wilson,VP Clinical Systems,wolfscott@gmail.com,A0118
C0195,Ashley Greer PhD,CIO,colemichael@gmail.com,A0016
C0196,Xavier Rowe,CTO,lisamatthews@callahan-bishop.biz,A0103
C0197,Charles Clark,CTO,hudsonamanda@ryan.com,A0176
C0198,Tiffany Robertson,CIO,sydneyfloyd@riddle.com,A0126
C0199,Brandi Thomas,CTO,kathleenlowe@yahoo.com,A0019
C0200,Mark Burton,CIO,yjones@gmail.com,A0083
C0201,Paul Neal,Director of IT,uclements@hotmail.com,A0017
C0202,Raymond Oconnor,Director of IT,melissa86@gmail.com,A0071
C0203,Samantha Simpson,VP Clinical Systems,matthew92@hotmail.com,A0098
C0204,Rachel Shannon,VP Clinical Systems,garciakristen@smith-noble.com,A0117
C0205,Aaron Rubio,CTO,nicoleturner@davis-ward.com,A0026
C0206,Steven Martin,CIO,jessica36@hotmail.com,A0168
C0207,Brandon Lewis,Director of IT,brittneystone@smith-dominguez.com,A0111
C0208,Jennifer Anderson MD,CTO,crosscurtis@yahoo.com,A0059
C0209,Edwin Reyes,CTO,caseyelliott@santos.com,A0087
C0210,Lisa Ramos,CTO,mosleydonald@lawrence.com,A0103
C0211,Emily Taylor,CTO,wrightcarolyn@hotmail.com,A0187
C0212,Peggy Vaughn,CIO,aprilhicks@hotmail.com,A0081
C0213,Matthew Bowers,CTO,pcruz@little-jones.com,A0081
C0214,Dr. Bonnie Valencia,VP Clinical Systems,amy27@gmail.com,A0096
C0215,Austin Baker,Director of IT,fryraymond@fuller-mason.biz,A0176
C0216,James Davidson,CTO,christopher18@mccann.net,A0018
C0217,Kevin Hines,CIO,holly30@miller.com,A0022
C0218,Lee Parker,CIO,smithderrick@martin.net,A0111
C0219,Samantha Green,CIO,karamarks@hotmail.com,A0191
C0220,Patricia Johnson,VP Clinical Systems,alexandria49@hotmail.com,A0034
C0221,Jesse Ward,CIO,michaelscott@gmail.com,A0151
C0222,Megan Wilson,VP Clinical Systems,trevinoalexander@ruiz.com,A0172
C0223,Tyler Johnson,CIO,marcbutler@hotmail.com,A0106
C0224,Roger Duncan,VP Clinical Systems,whitelinda@finley.info,A0171
C0225,Patricia Collins,CTO,msmith@elliott-torres.org,A0185
C0226,Jacob Bonilla,CIO,edwardrandolph@hall.com,A0074
C0227,April Sandoval,VP Clinical Systems,harristonya@yahoo.com,A0091
C0228,Anthony Shea DDS,CIO,morsephyllis@gutierrez.com,A0148
C0229,Kathy Walsh,Director of IT,vargasbryan@hotmail.com,A0040
C0230,Cynthia Green,CTO,vhaynes@yahoo.com,A0058
C0231,Dillon Jones,CIO,kimberlyrichards@garcia.info,A0090
C0232,Bryan Howard,VP Clinical Systems,qparker@davis.com,A0030
C0233,Melissa Williams,VP Clinical Systems,christopherwright@yahoo.com,A0147
C0234,Anthony Evans,Director of IT,cranemelissa@adkins.com,A0110
C0235,Antonio Norman,CIO,jamesmorales@mccoy.com,A0156
C0236,Angela Osborn,VP Clinical Systems,flamb@martinez-dunlap.com,A0008
C0237,Kenneth Underwood,Director of IT,rjohnson@yahoo.com,A0070
C0238,Daniel Lopez,VP Clinical Systems,cstephenson@hotmail.com,A0087
C0239,Danielle Phillips,VP Clinical Systems,rbrown@yahoo.com,A0002
C0240,Curtis Wilkerson,Director of IT,mayokimberly@castillo-harrington.com,A0037
C0241,Kathryn Price,CTO,floresjeffery@brown-frey.net,A0018
C0242,Kevin Hall,Director of IT,wrightjohn@velasquez.com,A0190
C0243,Vickie Price,CIO,joelstewart@wolfe.com,A0024
C0244,Kristy Hart,Director of IT,lweaver@johnson-brown.org,A0097
C0245,Joseph Smith,CTO,matthewthompson@brown-hernandez.com,A0117
C0246,Sarah Valencia,VP Clinical Systems,janet69@rogers.com,A0041
C0247,Morgan Kim,VP Clinical Systems,grant89@yahoo.com,A0080
C0248,Kevin Thompson,VP Clinical Systems,david09@yahoo.com,A0199
C0249,Patricia Bradley,CIO,samantha93@cunningham.com,A0014
C0250,William Jackson,Director of IT,sean43@steele.com,A0041
C0251,Michelle Williams,CIO,acosta@yahoo.com,A0173
C0252,Heather Bennett,CIO,franciscojones@gmail.com,A0070
C0253,Fernando Lynn,CTO,george62@jones.com,A0170
C0254,Lisa Webb,CTO,kdunlap@preston.com,A0125
C0255,Jennifer Spencer,CTO,kenneth10@yahoo.com,A0107
C0256,Sara Hernandez,VP Clinical Systems,pattersonkelly@hotmail.com,A0056
C0257,Karen Davis,CIO,daniellerowland@anthony-parker.biz,A0089
C0258,Steven Baker,CTO,nathanjames@gmail.com,A0029
C0259,Dennis Marshall,VP Clinical Systems,anne21@barnett.biz,A0174
C0260,Leah Spencer,CTO,rsheppard@yahoo.com,A0135
C0261,Cynthia Evans,VP Clinical Systems,shawrachel@hotmail.com,A0012
C0262,Lisa Martinez,Director of IT,stacyjackson@gmail.com,A0102
C0263,Beth Henderson,CIO,wendyburton@hotmail.com,A0002
C0264,Thomas Sloan,Director of IT,hughesray@gates-stone.com,A0078
C0265,Lisa Mills,Director of IT,perryeddie@hotmail.com,A0197
C0266,Traci Garcia,Director of IT,floydmikayla@humphrey-baker.info,A0196
C0267,Kara Jackson,VP Clinical Systems,christinebecker@yahoo.com,A0075
C0268,Steve Rivera,VP Clinical Systems,reesesamantha@smith-roth.com,A0031
C0269,Ryan Garrison,CIO,dennismccann@schroeder-flores.biz,A0128
C0270,Ann Alexander,CTO,xmalone@gmail.com,A0045
C0271,Caitlin Collins,Director of IT,kimberlywarren@hotmail.com,A0098
C0272,Corey Whitaker,Director of IT,antoniowilliams@bush-hill.info,A0129
C0273,Madison Martinez,VP Clinical Systems,nathanwheeler@horne.org,A0019
C0274,Hailey Monroe,CTO,mitchellpaul@gmail.com,A0190
C0275,Penny Lewis,CIO,ericaadams@palmer-hancock.com,A0112
C0276,Carlos Thompson,CIO,johnnytrujillo@marquez-fletcher.com,A0118
C0277,James Bailey,CIO,stevenbyrd@hotmail.com,A0081
C0278,Brian Hunt,CTO,kenneth17@gmail.com,A0147
C0279,Donald Nguyen,CTO,diana43@gmail.com,A0182
C0280,Cynthia Brown,CTO,erin07@yahoo.com,A0075
C0281,Jason Price,CIO,matthewreeves@nichols.com,A0104
C0282,Sarah Pittman,CIO,connor24@stokes.com,A0084
C0283,Courtney Walker,Director of IT,vfrench@yahoo.com,A0159
C0284,Edward York,CTO,delacruzbrandy@hotmail.com,A0177
C0285,Steve Mason,VP Clinical Systems,robert22@gmail.com,A0023
C0286,William Orozco,CTO,lesliebaldwin@gmail.com,A0028
C0287,Mr. Christopher Walters,Director of IT,whill@johnston.info,A0112
C0288,Penny Anderson,CTO,epowell@yahoo.com,A0135
C0289,Joseph Cross,CIO,katherine83@rhodes.com,A0102
C0290,Shawn Collins,VP Clinical Systems,tgordon@brown.com,A0191
C0291,Joy Meyer,VP Clinical Systems,ibarron@yahoo.com,A0057
C0292,Katherine Christensen MD,VP Clinical Systems,perezjessica@gmail.com,A0200
C0293,Alex Wagner,Director of IT,jennifer06@scott.com,A0020
C0294,Martha Smith,CIO,hwallace@king.com,A0136
C0295,Matthew Bates,Director of IT,robertroach@hotmail.com,A0199
C0296,Autumn Wilson,VP Clinical Systems,mgonzalez@decker-dudley.com,A0090
C0297,Elizabeth Williams,Director of IT,haleycastillo@gmail.com,A0061
C0298,Michael Meadows,CIO,stacychan@gmail.com,A0038
C0299,Ashley Scott,VP Clinical Systems,shinton@marshall-garcia.com,A0051
C0300,Sarah Ward,Director of IT,grodgers@gmail.com,A0155
